Country,Fuel Type,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,Diesel,13.77,18.76,20.42,23.06,23.06,26.53,29.01,29.01,29.01,29.01
Algeria,Petrol,21.2,28.45,32.69,38.95,38.95,41.73,43.71,45.97,45.97,45.97
Angola,Diesel,90.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,183.75
Argentina,Diesel,13.7,24.11,20.54,30.36,47.18,60.94,95.37,162.77,339.13,1141.57
Argentina,Petrol,12.58,19.26,20.02,31.18,45.01,58.84,93.91,137.95,279.5,1030.54
Aruba,Diesel,1.39,1.39,1.47,1.76,1.77,1.45,1.8,2.63,2.36,2.19
Australia,Diesel,1.29,1.18,1.3,1.49,1.48,1.22,1.48,2.06,2.02,1.95
Australia,Petrol,1.28,1.16,1.28,1.43,1.42,1.21,1.46,1.91,1.92,1.94
Austria,Diesel,1.09,1.0,1.09,1.22,1.21,1.03,1.23,1.9,1.68,1.65
Austria,Petrol,1.18,1.1,1.18,1.27,1.24,1.08,1.31,1.85,1.63,1.62
Bahamas,Diesel,1.03,0.95,0.96,1.17,1.24,1.03,1.21,1.52,1.51,1.51
Bahamas,Petrol,1.08,0.99,1.04,1.16,1.18,1.06,1.25,1.58,1.47,1.49
Bangladesh,Diesel,65.0,65.0,65.0,65.0,65.0,66.25,80.0,94.92,109.0,106.4
Bangladesh,Petrol,92.67,93.33,91.33,92.0,91.67,90.8,92.08,103.0,127.33,124.5
Barbados,Diesel,2.06,2.2,2.34,2.9,3.04,2.64,3.03,3.79,3.53,3.47
Barbados,Petrol,2.775,2.89,3.005,3.58,3.69,3.22,3.75,4.32,4.1,4.1
Belarus,Diesel,1.23,1.24,1.3,1.41,1.63,1.82,2.08,2.44,2.36,2.36
Belarus,Petrol,1.15,1.17,1.22,1.33,1.53,1.72,1.98,2.44,2.36,2.36
Benin,Diesel,394.375,440.0,435.96,488.435,540.91,512.5,500.0,662.0,700.0,700.0
Benin,Petrol,339.5416666666667,348.75,331.92,387.52,464.61,485.92,449.62,539.0,624.46,645.5
Bhutan,Diesel,47.11,48.24,54.76,64.21,63.46,61.94,76.51,102.76,82.43,82.35
Bhutan,Petrol,56.57,55.36,60.85,67.76,65.49,63.14,79.8,98.67,82.02,82.72
Bosnia & Herzegovina,Diesel,1.755,1.8,1.89,2.21,2.28,1.94,2.13,3.13,2.75,2.55
Botswana,Diesel,676.9950000000001,722.1625,767.33,948.0,890.335,832.67,979.42,1611.08,1578.92,1559.62
Botswana,Petrol,739.995,766.1625,792.33,897.0,826.67,1036.2,1554.5,1509.17,1449.92,1490.83
Brazil,Diesel,2.83,3.01,3.16,3.49,3.54,3.31,4.61,6.73,5.94,5.97
Brazil,Petrol,3.34,3.72,3.95,4.45,4.38,4.19,5.84,6.6,5.55,5.77
Bulgaria,Diesel,2.07,1.89,1.98,2.2,2.24,1.86,2.15,3.07,2.7,2.65
Bulgaria,Petrol,2.08,1.9,2.0,2.16,2.13,1.8,2.13,2.84,2.61,2.6
Burkina Faso,Diesel,593.5,528.0,529.58,582.0,577.0,540.0,540.0,634.58,675.0,675.0
Cabo Verde,Diesel,83.135,85.17,89.24,103.29,101.52,80.41,97.52,150.33,132.1,121.95
Cabo Verde,Petrol,103.72,106.93,113.35,125.37,122.02,102.72,124.89,159.31,143.82,138.95
Cambodia,Diesel,0.88,0.896,0.9120000000000001,0.9279999999999999,0.9440000000000002,0.96,0.96,1.27,1.06,0.98
Cambodia,Petrol,0.98,0.9940000000000001,1.008,1.0220000000000002,1.036,1.05,1.05,1.19,1.05,1.01
Cameroon,Diesel,615.0,575.0,575.0,575.0,575.0,575.0,575.0,580.0,736.67,828.0
Cameroon,Petrol,630.0,630.0,630.0,630.0,630.0,630.0,630.0,635.0,740.0,840.0
Canada,Diesel,92.86000000000001,97.62,107.14,125.58,119.0,98.47,125.98,192.46,168.45,166.28
Canada,Petrol,102.18,106.41,114.87,129.2,120.41,104.15,137.88,173.97,160.41,164.6
Cayman Islands,Diesel,4.07,4.135,4.2,4.46,4.5,4.08,4.44,6.13,5.81,5.48
Central African Republic,Diesel,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,1400.0,1350.0
Central African Republic,Petrol,865.0,865.0,865.0,865.0,865.0,865.0,865.0,865.0,1200.0,1100.0
Chile,Diesel,519.23,454.76,499.04,562.9,595.66,547.01,623.59,967.8,1032.55,1035.15
Chile,Petrol,728.32,714.28,735.25,807.51,802.72,752.61,878.07,1182.26,1257.69,1292.01
China,Diesel,5.85,5.65,6.15,7.03,6.77,5.81,6.85,8.19,7.85,7.74
China,Petrol,6.46,6.23,6.76,7.66,7.39,6.34,7.49,8.96,8.59,8.47
Colombia,Diesel,7759.5,7549.33,7670.67,8388.58,9163.67,8673.5,8605.25,9206.58,9082.33,9445.5
Colombia,Petrol,8093.58,7991.67,8426.58,9132.58,9638.25,8763.5,8873.33,9626.5,12364.5,15296.38
Congo (Dem. Rep.),Petrol,2240.0,2240.0,2240.0,2240.0,2240.0,2076.67,1995.0,2396.67,2951.67,3268.87
Costa Rica,Diesel,445.67,429.58,470.92,540.83,554.42,476.5,584.0,795.58,639.67,614.92
Costa Rica,Petrol,560.5,537.92,576.92,642.08,634.33,561.42,692.67,860.5,739.75,720.5
Croatia,Diesel,8.83,8.23,8.87,9.65,9.66,8.88,10.27,12.98,1.45,1.47
Cote d'Ivoire,Diesel,557.085,564.9325,572.78,604.17,613.33,598.33,611.25,625.0,670.0,715.0
Cote d'Ivoire,Petrol,558.41,566.8699999999999,575.33,609.17,623.75,602.5,611.25,711.67,826.67,875.0
Cyprus,Diesel,1.24,1.15,1.21,1.31,1.26,1.1,1.3,1.67,1.52,1.54
Cyprus,Petrol,1.23,1.15,1.21,1.28,1.21,1.06,1.25,1.5,1.41,1.44
Czech Republic,Diesel,29.98,27.17,28.7,31.06,30.82,27.05,30.56,42.51,35.39,36.57
Czech Republic,Petrol,30.7,28.66,29.47,31.25,30.98,27.34,32.84,41.76,37.66,38.16
DRC,Diesel,2230.0,2230.0,2230.0,2230.0,2230.0,2066.67,1985.0,2386.67,2907.17,3276.18
Denmark,Diesel,9.45,8.88,9.45,10.37,10.22,9.36,10.87,14.73,12.8,12.9
Dominican Republic,Diesel,132.135,141.2,159.33,189.72,179.39,154.43,210.79,229.48,230.47,230.35
Dominican Republic,Petrol,164.26999999999998,175.83,198.95,221.16,212.76,190.85,237.15,272.79,274.19,272.5
Ecuador,Diesel,1.03,1.03,1.03,1.03,1.03,1.13,1.66,1.83,1.75,1.79
Ecuador,Petrol,1.48,1.48,1.48,1.58,1.85,1.84,2.23,2.78,2.4,2.46
Egypt,Diesel,1.8,1.96,2.5,4.75,6.58,6.75,6.75,7.19,8.0,9.17
Egypt,Petrol,2.6,2.94,4.25,6.56,7.88,7.38,7.63,8.81,9.88,10.75
El Salvador,Diesel,2.83,2.37,2.66,3.09,2.98,2.46,3.22,4.36,3.95,3.83
El Salvador,Petrol,3.31,2.84,3.13,3.52,3.31,2.81,3.78,4.42,4.3,4.19
Equatorial Guinea,Diesel,350.0,350.0,350.0,350.0,350.0,350.0,350.0,450.0,470.0,470.0
Equatorial Guinea,Petrol,480.0,480.0,480.0,480.0,480.0,480.0,480.0,492.5,495.0,495.0
Estonia,Diesel,1.07,1.02,1.13,1.3,1.32,1.14,1.29,1.76,1.59,1.55
Ethiopia,Diesel,10.155,12.22,16.35,16.47,18.51,18.75,23.17,42.78,72.44,83.38
Ethiopia,Petrol,14.51,15.93,18.77,18.85,21.08,21.53,25.96,42.94,69.26,82.48
Fiji,Diesel,1.6,1.47,1.59,1.87,1.86,1.6,1.82,2.52,2.4,2.41
Fiji,Petrol,1.93,1.82,1.95,2.15,2.05,1.87,2.25,2.78,2.63,2.71
Finland,Diesel,1.27,1.19,1.3,1.43,1.42,1.28,1.5,2.11,1.9,1.77
Finland,Petrol,1.44,1.36,1.45,1.52,1.5,1.38,1.64,2.11,1.9,1.82
French Guiana,Diesel,1.4150000000000003,1.4225,1.43,1.43,1.46,1.29,1.49,1.86,1.78,1.8
Gabon,Diesel,441.67,495.0,528.75,595.42,618.33,593.75,565.0,575.0,575.0,575.0
Gabon,Petrol,512.5,561.25,593.75,640.42,668.75,643.75,605.0,605.0,605.0,605.0
Gambia,Diesel,40.99,43.11,45.23,53.71,53.27,46.09,51.11,66.64,72.18,72.18
Gambia,Petrol,44.465,45.8675,47.27,52.88,51.44,45.11,53.2,71.34,74.56,74.56
Germany,Diesel,1.14,1.06,1.14,1.27,1.24,1.09,1.37,1.92,1.71,1.68
Ghana,Diesel,3.84,4.035,4.23,5.01,5.34,4.97,6.2,13.65,15.86,14.98
Ghana,Petrol,3.9249999999999994,4.0874999999999995,4.25,4.9,5.23,4.9,6.21,11.84,15.16,14.12
Greece,Diesel,1.19,1.13,1.28,1.4,1.38,1.21,1.4,1.89,1.66,1.63
Greece,Petrol,1.49,1.44,1.53,1.61,1.59,1.43,1.67,2.05,1.87,1.85
Grenada,Diesel,2.6,2.5,2.61,2.94,3.0,2.68,3.0,3.81,3.48,3.45
Grenada,Petrol,2.9,2.83,3.0,3.31,3.17,2.83,3.32,4.02,3.58,3.68
Guatemala,Diesel,17.46,16.29,17.81,20.4,20.3,16.48,21.84,29.98,26.47,25.43
