Make,Model,Fuel,kmpl
Audi,Automatic transmission (2009 Audi A3),Gasoline,9.140596
Audi,Automatic transmission (2009 Audi A3),Gasoline,10.6286
Audi,Manual transmission (2009 Audi A3),Gasoline,10.841172
Audi,Automatic transmission (2009 Audi A3),Gasoline,10.416028
Audi,Manual transmission (2009 Audi A5),Gasoline,9.140596
Audi,Automatic transmission (2009 Audi A5),Gasoline,9.140596
Audi,Automatic transmission (2009 Audi Q7),Gasoline,6.589732000000001
Audi,Automatic transmission (2009 Audi Q7),Gasoline,7.227448000000001
Audi,Manual transmission (2009 Audi A4 Sedan),Gasoline,11.053744
Audi,Automatic transmission (2009 Audi A4 Sedan),Gasoline,10.203456000000001
Audi,Automatic transmission (2009 Audi A4 Sedan),Gasoline,9.140596
Acura,Automatic transmission (2012 Acura TL),Gasoline,10.416028
Acura,Automatic transmission (2012 Acura TL),Gasoline,9.353168
BMW,Automatic transmission (2010 BMW X5),Gasoline,6.164588
BMW,Automatic transmission (2011 BMW X5),Gasoline,6.164588
BMW,Automatic transmission (2010 BMW X6),Gasoline,6.164588
BMW,Automatic transmission (2011 BMW X6),Gasoline,6.164588
Chevrolet,Manual transmission (2012 Chevrolet Colorado),Gasoline,9.140596
Chevrolet,Automatic transmission (2012 Chevrolet Colorado),Gasoline,9.140596
Chevrolet,Manual transmission (2011 Chevrolet Colorado),Gasoline,9.140596
Chevrolet,Automatic transmission (2011 Chevrolet Colorado),Gasoline,9.140596
Chevrolet,Manual transmission (2010 Chevrolet Colorado),Gasoline,9.140596
Chevrolet,Manual transmission (2010 Chevrolet Colorado),Gasoline,9.778312
Chevrolet,Automatic transmission (2010 Chevrolet Colorado),Gasoline,9.140596
Chevrolet,Automatic transmission (2012 Chevrolet Express),Gasoline,6.589732000000001
Chevrolet,Automatic transmission (2012 Chevrolet Express),E85,4.464012
Chevrolet,Automatic transmission (2011 Chevrolet Express),Gasoline,6.37716
Chevrolet,Automatic transmission (2011 Chevrolet Express),E85,4.2514400000000006
Chevrolet,Automatic transmission (2010 Chevrolet Express),E85,4.889156
Chevrolet,Automatic transmission (2010 Chevrolet Express),Gasoline,6.37716
Chevrolet,Automatic transmission (2011 Chevrolet Silverado 1500),Gasoline,7.4400200000000005
Chevrolet,Automatic transmission (2011 Chevrolet Silverado 1500),Gasoline,7.014876
Chevrolet,Automatic transmission (2010 Chevrolet Silverado 1500),Gasoline,7.4400200000000005
